0,17.537,27.367,27.375
0,17.537,27.365,27.375
12.682,14.38,17.634,19.119
6.1361,11.474,24.935,25.539
8.707,14.342,21.813,22.53
11.232,11.684,20.93,21.089
0,17.537,27.365,27.375
0,17.537,27.367,27.375
6.2959,13.71,22.016,22.184
8.7268,13.297,20.161,23.692
13.09,13.09,13.745,21.326
0,17.544,19.127,26.174
0,17.54,17.545,24.573
0,17.535,17.537,25.565
0,17.538,27.367,27.367
0,17.537,27.367,27.375
6.2959,13.71,22.016,22.184
8.7268,13.297,20.161,23.692
13.09,13.745,21.326,29.99
6.1361,11.474,25.539,26.618
8.707,14.342,21.813,22.53
11.232,11.684,20.93,21.089
0,17.537,17.54,27.365
17.541,24.819,31.123,34.904
0,17.537,17.54,27.365
12.682,14.38,17.634,19.119
0,17.537,17.54,27.367
0,17.543,24.825,24.825
0,17.538,17.539,27.367
0,17.535,17.537,25.565
0,17.54,17.545,24.573
0,17.539,17.544,26.174
0,17.538,27.367,27.367
0,17.537,27.367,27.375
0,17.537,27.365,27.375
12.682,14.38,17.634,19.119
0,17.535,17.537,25.565
0,17.54,17.545,24.573
6.1361,11.474,24.935,25.539
8.707,14.342,21.813,22.53
11.232,11.684,20.93,21.089
0,17.537,27.365,27.375
0,17.537,27.367,27.375
6.2959,13.71,22.016,22.184
8.7268,13.297,20.161,23.692
13.09,13.09,13.745,21.326
0,17.544,23.141,23.141
0,17.539,17.542,17.542
0,17.544,19.127,26.174
0,17.54,17.545,24.573
0,17.535,17.537,25.565
0,17.538,27.367,27.367
0,17.537,27.367,27.375
6.2959,13.71,22.016,22.184
8.7268,13.297,20.161,23.692
13.09,13.745,21.326,29.99
6.1361,11.474,25.539,26.618
8.707,14.342,21.813,22.53
11.232,11.684,20.93,21.089
0,17.537,17.54,27.365
17.541,24.819,31.123,34.904
0,17.537,17.54,27.365
12.682,14.38,17.634,19.119
0,17.537,17.54,27.367
