A1,E1,A2,G1,C1
A2,A1,A3,G1,C1
A3,A2,A4,H1,B1
A4,A3,A5,H23,B2
A5,A4,A6,H22,B3
A6,A5,A23,A7,A24
A7,A5,A8,H24,A6
A8,A7,A9,H25,A23
A9,A8,A10,H26,A22
A10,A9,A11,H27,A21
A11,A10,A12,H28,A20
A12,A11,A13,H29,A19
A13,A12,A14,H30,A18
A14,A13,A15,H31,A17
A15,A14,NE,H32,A16
A16,A17,NE,A15,A32
A17,A18,A16,A14,A31
A18,A19,A17,A13,A30
A19,A20,A18,A12,A29
A20,A21,A19,A11,A28
A21,A22,A20,A10,A27
A22,A23,A21,A9,A26
A23,A6,A22,A8,A25
A24,A5,A25,A6,B4
A25,A24,A26,A23,B5
A26,A25,A27,A22,B6
A27,A26,A28,A21,B7
A28,A27,A29,A20,B8
A29,A28,A30,A19,B9
A30,A29,A31,A18,B10
A31,A30,A32,A17,B11
A32,A31,NE,A16,B12
B1,A1,B2,A3,C2
B2,B1,B3,A4,B21
B3,B2,B4,A5,B22
B4,B3,B5,A24,B20
B5,B4,B6,A25,B19
B6,B5,B7,A26,B18
B7,B6,B8,A27,B17
B8,B7,B9,A28,B16
B9,B8,B10,A29,B15
B10,B9,B11,A30,B14
B11,B10,B12,A31,B13
B12,B11,NE,A32,NE
B13,B14,NE,B11,B30
B14,B15,B13,B10,B29
B15,B16,B14,B9,B28
B16,B17,B15,B8,B27
B17,B18,B16,B7,B26
B18,B19,B17,B6,B25
B19,B20,B25,B5,B24
B20,B21,B19,B4,B23
B21,B1,B22,B2,C3
B22,B21,B20,B3,C4
B23,B22,B24,B20,C5
B24,B23,C8,B19,C6
B25,B19,B26,B18,C8
B26,B25,B27,B17,C9
B27,B26,B28,B16,C10
B28,B27,B29,B15,C11
B29,B28,B30,B14,C12
B30,B29,NE,B13,C13
B31,B32,NE,B30,NE
B32,C11,B31,B29,C12
C1,A1,C2,A2,D1
C2,C1,C3,B1,D2
C3,C2,C4,B21,C25
C4,C3,C5,B22,C24
C5,C4,C6,B23,C23
C6,C5,C7,B24,C22
C7,C6,C15,C8,C21
C8,B24,C9,B25,C7
C9,C8,C10,B26,C15
C10,C9,C11,B27,C14
C11,C10,B32,B28,C13
C12,C13,NE,B32,NE
C13,C14,C12,C11,C17
C14,C15,C13,C10,C18
C15,C7,C14,C9,C20
C16,C20,C17,C14,C19
C17,C16,NE,C13,C18
C18,C19,NE,C17,C32
C19,C22,C18,C16,C31
C20,C21,C19,C15,C30
C21,C22,C20,C7,C29
C22,C23,C19,C6,C28
C23,C24,C22,C5,C27
C24,C25,C23,C4,C26
C25,C2,C24,C3,D3
C26,C25,C27,C24,D4
C27,C26,C28,C23,D5
C28,C27,D6,C22,D16
C29,C22,C30,C21,D6
C30,C29,C31,C20,D7
C31,C30,C32,C19,D8
C32,C31,NE,C18,D9
D1,A1,E2,C1,F1
D2,D1,D3,C2,E2
D3,D2,D4,C25,E3
D4,D3,D5,C26,E4
D5,D4,D16,C27,D17
D6,C28,D7,C29,D15
D7,D6,D8,C30,D14
D8,D7,D9,C31,D13
D9,D8,D10,C32,D12
D10,D9,NE,NE,D11
D11,D12,NE,D10,D23
D12,D13,D11,D9,D22
D13,D14,D12,D8,D21
D14,D15,D13,D7,D20
D15,D16,D14,D6,D19
D16,D5,D15,C28,D18
D17,D4,D18,D5,E5
D18,D17,D19,D16,D28
D19,D18,D20,D15,D27
D20,D19,D21,D14,D26
D21,D20,D22,D13,D25
D22,D21,D23,D12,D24
D23,D22,NE,D11,NE
D24,D25,NE,D22,D32
D25,D26,D24,D21,D31
D26,D27,D25,D20,D30
D27,D28,D26,D19,D29
D28,E5,D27,D18,E7
D29,D28,D30,D27,E8
D30,D29,D31,D26,E9
D31,D30,D32,D25,E10
D32,D31,NE,D24,E11
E1,A1,E18,E2,F2
E2,D1,E3,D2,E1
E3,E2,E4,D3,E20
E4,E3,E5,D4,E19
E5,E4,D28,D17,E6
E6,E19,E7,E5,E17
E7,E6,E8,D28,E16
E8,E7,E9,D29,E15
E9,E8,E10,D30,E14
E10,E9,E11,D31,E13
E11,E10,E12,D32,E12
E12,E13,NE,E11,E28
E13,E14,E12,E10,E27
E14,E15,E13,E9,E26
E15,E16,E14,E8,E25
E16,E17,E15,E7,E24
E17,E18,E16,E6,E23
E18,E1,E17,E19,E22
E19,E20,E6,E4,E18
E20,E1,E19,E3,E21
E21,E1,E22,E20,F3
E22,E21,E23,E18,F4
E23,E22,E24,E17,F5
E24,E23,E25,E16,F6
E25,E24,E26,E15,E32
E26,E25,E27,E14,E31
E27,E26,E28,E13,E30
E28,E27,NE,E12,E29
E29,E30,NE,E28,F10
E30,E31,E29,E27,F9
E31,E32,E30,E26,F8
E32,E24,E31,E25,F7
F1,A1,F2,D1,G1
F2,F1,F3,E1,F20
F3,F2,F4,E21,F19
F4,F3,F5,E22,F18
F5,F4,F6,E23,F17
F6,F5,F7,E24,F16
F7,F6,F8,E25,F15
F8,F7,F9,E26,F14
F9,F8,F10,E27,F13
F10,F9,NE,E28,F12
F11,F12,NE,NE,F29
F12,F13,F11,F10,F28
F13,F14,F12,F9,F27
F14,F15,F13,F8,F26
F15,F16,F14,F7,F25
F16,F17,F15,F6,F24
F17,F18,F16,F5,F23
F18,F19,F17,F4,F22
F19,F20,F18,F3,F21
F20,F1,F19,F2,G2
F21,F20,G4,F19,G3
F22,F21,G5,F18,G4
F23,F18,F24,F17,G5
F24,F23,F25,F16,G6
F25,F24,F26,F15,G7
F26,F25,F27,F14,G8
F27,F26,F28,F13,F32
F28,F27,F29,F12,F31
F29,F28,NE,F11,G11
F30,F31,NE,F29,NE
F31,F32,F30,F28,G10
F32,G8,F31,F27,G9
G1,A1,G2,F1,A2
G2,G1,G3,F20,H1
G3,G2,H4,F21,H2
G4,F21,G16,F22,H4
G5,F22,G6,F23,G16
G6,G5,G7,F24,G15
G7,G6,G8,F25,G14
G8,G7,F32,F26,G13
G9,G8,G10,F32,G12
G10,G9,NE,F31,G11
G11,G12,NE,G10,G21
G12,G13,G11,G9,G20
G13,G14,G12,G8,G19
G14,G15,G13,G7,G18
G15,G16,G14,G6,G17
G16,G4,G15,G5,H5
G17,H5,G26,G15,H7
G18,G15,G19,G14,G26
G19,G18,G20,G13,G25
G20,G19,G21,G12,G24
G21,G20,NE,G11,G23
G22,G23,NE,NE,G32
G23,G24,G22,G21,G30
G24,G25,G23,G20,G29
G25,G26,G24,G19,G28
G26,G17,G25,G18,G27
G27,H7,G28,G26,H8
G28,G27,G29,G25,H9
G29,G28,G30,G24,H10
G30,G29,G31,G23,H11
G31,G30,G32,G22,H12
G32,G31,NE,NE,H13
H1,A1,H2,G2,A3
H2,H1,H3,G3,H23
H3,H2,H6,H4,H22
H4,G3,H5,G4,H3
H5,H4,G17,G16,H6
H6,H3,H7,G10,H21
H7,H6,G27,G26,H8
H8,H20,H9,G27,H19
H9,H8,H10,G28,H18
H10,H9,H11,G29,H17
H11,H10,H12,G30,H16
H12,H11,H13,G31,H15
H13,H12,NE,G32,H14
H14,H15,NE,H13,H31
H15,H16,H14,H12,H30
H16,H17,H15,H11,H29
H17,H18,H16,H10,H28
H18,H19,H17,H9,H27
H19,H25,H18,H8,H26
H20,H21,H8,H7,H25
H21,H22,H20,H6,H24
H22,H23,H21,H3,A5
H23,H1,H22,H2,A4
H24,H22,H25,H21,A7
H25,H24,H26,H20,A8
H26,H25,H27,H19,A9
H27,H26,H28,H18,A10
H28,H27,H29,H17,A11
H29,H28,H30,H16,A12
H30,H29,H31,H15,A13
H31,H30,H32,H14,A14
H32,H31,NE,NE,A15
