-83.2,-27.03,-3.05
-76.26,-35.56,24.13
-51.42,-70.77,-3.05
-58.91,-47.71,43.77
-32.8,-32.8,74.23
-29.83,-77.72,27.05
0,-87.48,-3.05
0,-62.97,60.81
32.8,-32.8,74.23
29.83,-77.72,27.05
51.42,-70.77,-3.05
58.91,-47.71,43.77
62.97,0,60.81
76.26,-35.56,24.13
83.2,-27.03,-3.05
87.48,0,-3.05
83.2,27.03,-3.05
76.26,35.56,24.13
58.91,47.71,43.77
51.42,70.77,-3.05
29.83,77.72,27.05
32.8,32.8,74.23
0,62.97,60.81
0,87.48,-3.05
-29.83,77.72,27.05
-32.8,32.8,74.23
-58.91,47.71,43.77
-51.42,70.77,-3.05
-76.26,35.56,24.13
-83.2,27.03,-3.05
-62.97,0,60.81
0,0,87.54
