1,65,193,97
2,3,33,225
3,4,34,247
5,4,6,34
248,7,249,8
245,244,230,248
244,232,243,245
243,242,250,232
241,242,234,240
240,235,241,239
239,238,236,240
238,256,237,255
256,15,255,14
254,13,14,255
253,12,254,252
252,11,10,251
9,250,10,251
8,249,250,9
6,5,23,7
23,22,6,9
22,21,9,26
20,21,11,28
19,20,18,12
18,17,13,30
17,16,15,32
44,32,43,31
42,30,31,43
41,29,42,40
40,28,27,39
26,38,27,39
25,37,38,26
36,24,37,25
65,66,98,33
53,33,34,66
52,51,36,55
51,57,50,52
50,49,38,57
48,49,59,47
47,60,48,46
46,45,61,47
45,44,62,43
64,62,63,61
75,60,74,64
74,73,58,59
57,72,73,58
77,81,76,78
78,79,80,77
71,79,85,72
70,56,71,72
55,69,68,56
54,68,53,67
89,66,98,67
88,89,68,90
87,88,86,69
86,85,93,87
85,93,84,94
83,84,94,80
82,83,81,96
105,96,106,104
104,103,95,105
102,103,93,111
92,112,102,111
101,91,90,112
100,99,90,101
97,130,98,129
130,131,99,98
113,114,101,133
114,115,123,113
115,111,110,116
109,110,116,117
108,118,109,107
120,118,121,119
121,122,117,120
123,122,125,115
132,147,131,133
133,134,147,124
135,124,125,136
136,125,137,126
127,138,137,126
128,139,127,138
140,141,139,156
141,142,138,155
143,142,136,153
144,143,145,136
145,146,144,134
146,148,149,147
129,148,149,130
164,150,163,165
165,151,150,166
152,166,160,153
153,160,154,159
158,155,154,159
157,156,158,155
170,172,169,171
169,168,173,170
167,168,160,175
161,162,180,129
162,163,179,180
177,176,165,183
176,175,167,177
175,185,186,174
187,186,174,173
188,172,187,189
191,202,190,192
192,200,201,191
199,200,206,185
198,184,199,185
183,197,182,184
178,179,182,183
181,180,194,195
193,194,180,225
226,225,247,194
227,228,226,195
196,181,182,228
208,196,207,197
207,206,210,208
206,210,205,211
204,205,211,201
203,204,202,213
215,213,214,216
216,217,212,215
218,217,210,219
209,231,218,219
230,229,228,231
232,219,220,233
221,220,233,234
222,235,221,223
223,237,224,236
