Fp1,NE,AF3,AF7,Fpz
AF7,Fp1,F7,NE,AF3
AF3,Fp1,F3,AF7,Afz
F1,Fpz,FC1,F3,Fz
F3,AF3,FC3,F5,F1
F5,FP1,FC5,F7,F3
F7,AF7,FT7,NE,F5
FT7,F7,T7,NE,FC5
FC5,F5,C5,FT7,FC3
FC3,F3,C3,FC5,FC1
FC1,F1,C1,FC3,FCZ
C1,FC1,CP1,C3,CZ
C3,FC3,CP3,C5,C1
C5,FC5,CP5,T7,C3
T7,FT7,TP7,NE,C5
TP7,T7,P7,NE,CP5
CP5,C5,P5,TP7,CP3
CP3,C3,P3,CP5,CP1
CP1,C1,P1,CP3,CPZ
P1,CP1,OZ,P3,PZ
P3,CP3,PO3,P5,P1
P5,CP5,O1,P7,P3
P7,TP7,PO7,P9,P5
P9,NE,NE,NE,A23
PO7,P7,O1,NE,PO3
PO3,P3,O1,PO7,POZ
O1,PO3,NE,PO7,OZ
Iz,OZ,NE,NE,NE
Oz,POZ,IZ,O1,O2
POz,PZ,OZ,PO3,PO4
Pz,CPZ,POZ,P1,P2
CPz,CZ,PZ,CP1,CP2
Fpz,NE,AFZ,FP1,FP2
Fp2,NE,AF4,FPZ,AF8
AF8,FP2,F8,AF4,NE
AF4,FP2,F4,AFZ,AF8
Afz,FPZ,FZ,AF3,AF4
Fz,AFZ,FCZ,F1,F2
F2,FPZ,FC2,FZ,F4
F4,AF4,FC4,F2,F6
F6,FP2,FC6,F4,F8
F8,AF8,FT8,F6,NE
FT8,F8,T8,FC6,NE
FC6,F6,C6,FC4,FT8
FC4,F4,C4,FC2,FC6
FC2,F2,C2,FCZ,FC4
FCz,FZ,CZ,FC1,FC2
Cz,FCZ,CPZ,C1,C2
C2,FC2,CP2,CZ,C4
C4,FC4,CP4,C2,C6
C6,FC6,CP6,C4,T8
T8,FT8,TP8,C6,NE
TP8,T8,P8,CP6,NE
CP6,C6,P6,CP4,TP8
CP4,C4,P4,CP2,CP6
CP2,C2,P2,CPZ,CP4
P2,CP2,OZ,PZ,P4
P4,CP4,PO4,P2,P6
P6,CP6,O2,P4,P8
P8,TP8,PO8,P6,P10
P10,NE,NE,P8,NE
PO8,P8,O2,PO4,NE
PO4,P4,O2,POZ,PO8
O2,PO4,NE,OZ,PO8
