A1,C23,A2,D15,B1
A2,A1,A3,D15,B1
A3,A2,A4,D16,B2
A4,A3,A19,D17,B19
A5,A4,A18,A6,A19
A6,D17,A7,D28,A5
A7,A6,A8,D27,A18
A8,A7,A9,D29,A17
A9,A8,A10,D30,A16
A10,A9,A11,D31,A15
A11,A10,A12,D32,A14
A12,A11,NE,NE,A13
A13,A14,NE,A12,A25
A14,A15,A13,A11,A24
A15,A16,A14,A10,A23
A16,A17,A15,A9,A22
A17,A18,A16,A8,A21
A18,A5,A17,A7,A20
A19,A4,A20,A5,A32
A20,A19,A21,A18,A31
A21,A20,A22,A17,A30
A22,A21,A23,A16,A29
A23,A22,A24,A15,A28
A24,A23,A25,A14,A27
A25,A24,NE,A13,A26
A26,A27,NE,A25,B9
A27,A28,A26,A24,B8
A28,A29,A27,A23,B7
A29,A30,A28,A22,B6
A30,A31,A29,A21,B5
A31,A32,A30,A20,B4
A32,A4,A31,A19,B3
B1,A1,B2,A2,C1
B2,B1,B19,A3,B20
B3,B19,B4,A32,B18
B4,B3,B5,A31,B17
B5,B4,B6,A30,B13
B6,B5,B7,A29,B12
B7,B6,B8,A28,B11
B8,B7,B9,A27,B10
B9,B8,NE,A26,NE
B10,B11,NE,B8,NE
B11,B12,B10,B7,B14
B12,B13,B11,B6,B15
B13,B4,B12,B5,B16
B14,B15,NE,B11,B26
B15,B16,B14,B12,B25
B16,B17,B15,B13,B24
B17,B18,B16,B4,B23
B18,B19,B17,B3,B22
B19,B2,B18,A4,B21
B20,B1,B21,B2,C2
B21,B20,B22,B19,B32
B22,B21,B23,B18,B31
B23,B22,B24,B17,B30
B24,B23,B25,B16,B29
B25,B24,B26,B15,B28
B26,B25,NE,B14,B27
B27,B28,NE,B26,C7
B28,B29,B27,B25,C6
B29,B30,B28,B24,C5
B30,B31,B29,B23,C4
B31,B32,B30,B22,C3
B32,C2,B31,B21,C11
C1,A1,C2,B1,D1
C2,C1,C11,B20,C23
C3,C11,C4,B31,C12
C4,C3,C5,B30,C13
C5,C4,C6,B29,C10
C6,C5,C7,B28,C9
C7,C8,NE,B27,C8
C8,C9,NE,C7,C16
C9,C10,C8,C6,C15
C10,C4,C9,C5,C14
C11,C2,C12,B32,C22
C12,C11,C13,C3,C21
C13,C12,C14,C4,C20
C14,C13,C15,C10,C19
C15,C14,C16,C9,C18
C16,C15,NE,C8,C17
C17,C18,NE,C16,C29
C18,C19,C17,C15,C28
C19,C20,C18,C14,C27
C20,C21,C19,C13,C26
C21,C22,C20,C12,C25
C22,C23,C21,C11,C24
C23,A1,C22,C2,D2
C24,D2,C25,C22,D13
C25,C24,C26,C21,D3
C26,C25,C27,C20,D4
C27,C26,C28,C19,C32
C28,C27,C29,C18,C31
C29,C28,NE,C17,C30
C30,C31,NE,C29,D7
C31,C32,C30,C28,D6
C32,C26,C31,C27,D5
D1,A1,D2,C1,D15
D2,D1,D13,C23,D14
D3,D13,D4,C25,D12
D4,D3,D5,C26,D11
D5,D4,D6,C32,D10
D6,D5,D7,C31,D9
D7,D6,NE,C30,D8
D8,D9,NE,D7,D23
D9,D10,D8,D6,D22
D10,D11,D9,D5,D21
D11,D12,D10,D4,D20
D12,D13,D11,D3,D19
D13,D2,D12,C24,D18
D14,D15,D18,D2,D16
D15,A1,D14,D1,A2
D16,D15,D17,D14,A3
D17,D16,D28,D18,A4
D18,D14,D19,D13,D17
D19,D18,D20,D12,D28
D20,D19,D21,D11,D27
D21,D20,D22,D10,D26
D22,D21,D23,D9,D25
D23,D22,NE,D8,D24
D24,D25,NE,D23,D31
D25,D26,D24,D22,D30
D26,D27,D25,D21,D29
D27,D28,D26,D20,A7
D28,D17,D27,D19,A6
D29,D27,D30,D26,A8
D30,D29,D31,D25,A9
D31,D30,D32,D24,A10
D32,D31,NE,NE,A11
