1,0,3,2,33
2,1,7,0,3
3,1,5,2,37
4,33,11,5,38
5,3,10,6,4
6,0,9,7,5
7,2,8,0,6
8,7,15,0,9
9,6,14,8,10
10,5,13,9,11
11,4,12,10,0
12,11,19,13,0
13,10,18,14,12
14,9,17,15,13
15,8,16,0,14
16,15,23,0,17
17,14,22,16,18
18,13,21,17,19
19,12,20,18,0
20,19,0,21,0
21,18,26,22,20
22,17,27,23,21
23,16,25,24,22
24,0,0,0,0
25,23,27,0,26
26,21,27,25,0
27,26,0,25,0
28,0,0,0,0
29,0,0,27,64
30,0,0,26,63
31,0,0,20,57
32,0,0,19,56
33,0,0,0,0
34,0,36,0,35
35,0,42,36,0
36,0,40,0,35
37,0,0,3,36
38,0,0,4,39
39,0,46,0,40
40,36,45,39,41
41,0,44,40,42
42,35,43,41,0
43,42,52,44,0
44,41,51,45,43
45,40,50,46,44
46,39,49,0,45
47,0,0,11,46
48,0,0,12,49
49,46,56,0,50
50,45,55,49,51
51,44,54,50,52
52,43,53,51,0
53,52,60,54,0
54,51,59,55,53
55,50,58,56,54
56,49,57,0,55
57,56,0,0,58
58,55,63,57,59
59,54,64,58,60
60,53,62,59,61
61,0,0,60,0
62,60,64,63,0
63,58,64,0,62
64,63,0,0,62
